Node,Depth,Value
B6,3,-Infinity
B2,3,3
B6,3,3
B4,3,2
B6,3,3
B5,3,2
B6,3,3
A4,2,3
A2,2,0
A5,2,-Infinity
B2,3,1
A5,2,1
B4,3,-1
A5,2,1
B5,3,-1
A5,2,1
B6,3,-Infinity
B2,3,2
B6,3,2
B4,3,2
B6,3,2
B5,3,2
B6,3,2
A5,2,2
A2,2,0
A6,2,-Infinity
B2,3,1
A6,2,1
B4,3,-1
A6,2,1
B5,3,-1
A6,2,1
B6,3,-Infinity
B2,3,2
B6,3,2
B4,3,1
B6,3,2
B5,3,1
B6,3,2
A6,2,2
A2,2,0
B3,1,0
A3,2,-Infinity
B2,3,1
A3,2,1
B4,3,0
A3,2,1
B5,3,0
A3,2,1
B6,3,-Infinity
B2,3,2
B6,3,2
B4,3,3
B6,3,3
B5,3,3
B6,3,3
A3,2,3
B3,1,0
A4,2,-Infinity
B2,3,3
A4,2,3
B4,3,0
A4,2,3
B5,3,0
A4,2,3
B6,3,-Infinity
B2,3,4
B6,3,4
B4,3,3
B6,3,4
B5,3,3
B6,3,4
A4,2,4
B3,1,0
A5,2,-Infinity
B2,3,2
A5,2,2
B4,3,0
A5,2,2
B5,3,0
A5,2,2
B6,3,-Infinity
B2,3,3
B6,3,3
B4,3,3
B6,3,3
B5,3,3
B6,3,3
A5,2,3
B3,1,0
A6,2,-Infinity
B2,3,2
A6,2,2
B4,3,0
A6,2,2
B5,3,0
A6,2,2
B6,3,-Infinity
B2,3,3
B6,3,3
B4,3,2
B6,3,3
B5,3,2
B6,3,3
A6,2,3
B3,1,0
root,0,1
B4,1,Infinity
A2,2,Infinity
A3,2,-Infinity
B3,3,-1
A3,2,-1
B5,3,-Infinity
B3,3,0
B5,3,0
B6,3,-1
B5,3,0
A3,2,0
B6,3,-Infinity
B3,3,0
B6,3,0
B5,3,-Infinity
B3,3,1
B5,3,1
B6,3,-Infinity
B3,3,0
B6,3,0
B5,3,1
B6,3,1
A3,2,1
A2,2,1
A4,2,-Infinity
B2,3,-1
A4,2,-1
B3,3,0
A4,2,0
B5,3,-Infinity
B2,3,0
B5,3,0
B3,3,1
B5,3,1
B6,3,1
B5,3,1
A4,2,1
B6,3,-Infinity
B2,3,0
B6,3,0
B3,3,1
B6,3,1
B5,3,-Infinity
B2,3,1
B5,3,1
B3,3,2
B5,3,2
B6,3,-Infinity
B2,3,2
B6,3,2
B3,3,3
B6,3,3
B5,3,3
B6,3,3
A4,2,3
A2,2,1
A5,2,-Infinity
B2,3,-1
A5,2,-1
B3,3,2
A5,2,2
B5,3,-Infinity
B2,3,0
B5,3,0
B3,3,3
B5,3,3
B6,3,1
B5,3,3
A5,2,3
B6,3,-Infinity
B2,3,0
B6,3,0
B3,3,3
B6,3,3
B5,3,-Infinity
B2,3,1
B5,3,1
B3,3,4
B5,3,4
B6,3,-Infinity
B2,3,2
B6,3,2
B3,3,5
B6,3,5
B5,3,5
B6,3,5
A5,2,5
A2,2,1
A6,2,-Infinity
B2,3,-1
A6,2,-1
B3,3,1
A6,2,1
B5,3,-Infinity
B2,3,0
B5,3,0
B3,3,2
B5,3,2
B6,3,1
B5,3,2
A6,2,2
B6,3,-Infinity
B2,3,0
B6,3,0
B3,3,2
B6,3,2
B5,3,-Infinity
B2,3,1
B5,3,1
B3,3,3
B5,3,3
B6,3,-Infinity
B2,3,2
B6,3,2
B3,3,4
B6,3,4
B5,3,4
B6,3,4
A6,2,4
A2,2,1
B4,1,1
A3,2,-Infinity
B2,3,0
A3,2,0
B3,3,2
A3,2,2
B5,3,-Infinity
B2,3,1
B5,3,1
B3,3,3
B5,3,3
B6,3,2
B5,3,3
A3,2,3
B6,3,-Infinity
B2,3,1
B6,3,1
B3,3,3
B6,3,3
B5,3,-Infinity
B2,3,2
B5,3,2
B3,3,4
B5,3,4
B6,3,-Infinity
B2,3,3
B6,3,3
B3,3,5
B6,3,5
B5,3,5
B6,3,5
A3,2,5
B4,1,1
A4,2,-Infinity
B2,3,0
A4,2,0
B3,3,1
A4,2,1
B5,3,-Infinity
B2,3,1
B5,3,1
B3,3,2
B5,3,2
B6,3,2
B5,3,2
A4,2,2
B6,3,-Infinity
B2,3,1
B6,3,1
B3,3,2
B6,3,2
B5,3,-Infinity
B2,3,2
B5,3,2
B3,3,3
B5,3,3
B6,3,-Infinity
B2,3,3
B6,3,3
B3,3,4
B6,3,4
B5,3,4
B6,3,4
A4,2,4
B4,1,1
A5,2,-Infinity
B2,3,0
A5,2,0
B3,3,3
A5,2,3
B5,3,-Infinity
B2,3,1
B5,3,1
B3,3,4
B5,3,4
B6,3,2
B5,3,4
A5,2,4
B6,3,-Infinity
B2,3,1
B6,3,1
B3,3,4
B6,3,4
B5,3,-Infinity
B2,3,2
B5,3,2
B3,3,5
B5,3,5
B6,3,-Infinity
B2,3,3
B6,3,3
B3,3,6
B6,3,6
B5,3,6
B6,3,6
A5,2,6
B4,1,1
A6,2,-Infinity
B2,3,0
A6,2,0
B3,3,2
A6,2,2
B5,3,-Infinity
B2,3,1
B5,3,1
B3,3,3
B5,3,3
B6,3,2
B5,3,3
A6,2,3
B6,3,-Infinity
B2,3,1
B6,3,1
B3,3,3
B6,3,3
B5,3,-Infinity
B2,3,2
B5,3,2
B3,3,4
B5,3,4
B6,3,-Infinity
B2,3,3
B6,3,3
B3,3,5
B6,3,5
B5,3,5
B6,3,5
A6,2,5
B4,1,1
root,0,1
B5,1,Infinity
A2,2,Infinity
A3,2,-Infinity
B3,3,-3
A3,2,-3
B4,3,-1
A3,2,-1
B6,3,-2
A3,2,-1
A2,2,-1
A4,2,-Infinity
B2,3,-1
A4,2,-1
B3,3,-1
A4,2,-1
B4,3,1
A4,2,1
B6,3,0
A4,2,1
A2,2,-1
A5,2,-Infinity
B2,3,-1
A5,2,-1
B3,3,-1
A5,2,-1
B4,3,0
A5,2,0
B6,3,0
A5,2,0
A2,2,-1
A6,2,-Infinity
B2,3,-1
A6,2,-1
B3,3,-1
A6,2,-1
B4,3,2
A6,2,2
B6,3,0
A6,2,2
A2,2,-1
B5,1,-1
A3,2,-Infinity
B2,3,0
A3,2,0
B3,3,0
A3,2,0
B4,3,2
A3,2,2
B6,3,1
A3,2,2
B5,1,-1
A4,2,-Infinity
B2,3,0
A4,2,0
B3,3,0
A4,2,0
B4,3,2
A4,2,2
B6,3,1
A4,2,2
B5,1,-1
A5,2,-Infinity
B2,3,0
A5,2,0
B3,3,0
A5,2,0
B4,3,1
A5,2,1
B6,3,1
A5,2,1
B5,1,-1
A6,2,-Infinity
B2,3,0
A6,2,0
B3,3,0
A6,2,0
B4,3,3
A6,2,3
B6,3,1
A6,2,3
B5,1,-1
root,0,1
B6,1,-Infinity
B2,1,Infinity
A2,2,Infinity
A3,2,-Infinity
B3,3,-1
A3,2,-1
B4,3,-1
A3,2,-1
B5,3,1
A3,2,1
A2,2,1
A4,2,-Infinity
B3,3,0
A4,2,0
B4,3,0
A4,2,0
B5,3,2
A4,2,2
A2,2,1
A5,2,-Infinity
B3,3,0
A5,2,0
B4,3,0
A5,2,0
B5,3,2
A5,2,2
A2,2,1
A6,2,-Infinity
B3,3,0
A6,2,0
B4,3,0
A6,2,0
B5,3,1
A6,2,1
A2,2,1
B2,1,1
A3,2,-Infinity
B3,3,1
A3,2,1
B4,3,1
A3,2,1
B5,3,3
A3,2,3
B2,1,1
A4,2,-Infinity
B3,3,1
A4,2,1
B4,3,1
A4,2,1
B5,3,3
A4,2,3
B2,1,1
A5,2,-Infinity
B3,3,1
A5,2,1
B4,3,1
A5,2,1
B5,3,3
A5,2,3
B2,1,1
A6,2,-Infinity
B3,3,1
A6,2,1
B4,3,1
A6,2,1
B5,3,2
A6,2,2
B2,1,1
B6,1,1
B3,1,Infinity
A2,2,Infinity
A3,2,-Infinity
B4,3,0
A3,2,0
B5,3,0
A3,2,0
A2,2,0
A4,2,-Infinity
B2,3,3
A4,2,3
B4,3,2
A4,2,3
B5,3,2
A4,2,3
A2,2,0
A5,2,-Infinity
B2,3,2
A5,2,2
B4,3,2
A5,2,2
B5,3,2
A5,2,2
A2,2,0
A6,2,-Infinity
B2,3,2
A6,2,2
B4,3,1
A6,2,2
B5,3,1
A6,2,2
A2,2,0
B3,1,0
A3,2,-Infinity
B2,3,2
A3,2,2
B4,3,3
A3,2,3
B5,3,3
A3,2,3
B3,1,0
A4,2,-Infinity
B2,3,4
A4,2,4
B4,3,3
A4,2,4
B5,3,3
A4,2,4
B3,1,0
A5,2,-Infinity
B2,3,3
A5,2,3
B4,3,3
A5,2,3
B5,3,3
A5,2,3
B3,1,0
A6,2,-Infinity
B2,3,3
A6,2,3
B4,3,2
A6,2,3
B5,3,2
A6,2,3
B3,1,0
B6,1,1
B4,1,Infinity
A2,2,Infinity
A3,2,-Infinity
B3,3,0
A3,2,0
B5,3,-Infinity
B3,3,1
B5,3,1
B6,3,-Infinity
B3,3,0
B6,3,0
B5,3,1
A3,2,1
A2,2,1
A4,2,-Infinity
B2,3,0
A4,2,0
B3,3,1
A4,2,1
B5,3,-Infinity
B2,3,1
B5,3,1
B3,3,2
B5,3,2
B6,3,-Infinity
B2,3,2
B6,3,2
B3,3,3
B6,3,3
B5,3,3
A4,2,3
A2,2,1
A5,2,-Infinity
B2,3,0
A5,2,0
B3,3,3
A5,2,3
B5,3,-Infinity
B2,3,1
B5,3,1
B3,3,4
B5,3,4
B6,3,-Infinity
B2,3,2
B6,3,2
B3,3,5
B6,3,5
B5,3,5
A5,2,5
A2,2,1
A6,2,-Infinity
B2,3,0
A6,2,0
B3,3,2
A6,2,2
B5,3,-Infinity
B2,3,1
B5,3,1
B3,3,3
B5,3,3
B6,3,-Infinity
B2,3,2
B6,3,2
B3,3,4
B6,3,4
B5,3,4
A6,2,4
A2,2,1
B4,1,1
A3,2,-Infinity
B2,3,1
A3,2,1
B3,3,3
A3,2,3
B5,3,-Infinity
B2,3,2
B5,3,2
B3,3,4
B5,3,4
B6,3,-Infinity
B2,3,3
B6,3,3
B3,3,5
B6,3,5
B5,3,5
A3,2,5
B4,1,1
A4,2,-Infinity
B2,3,1
A4,2,1
B3,3,2
A4,2,2
B5,3,-Infinity
B2,3,2
B5,3,2
B3,3,3
B5,3,3
B6,3,-Infinity
B2,3,3
B6,3,3
B3,3,4
B6,3,4
B5,3,4
A4,2,4
B4,1,1
A5,2,-Infinity
B2,3,1
A5,2,1
B3,3,4
A5,2,4
B5,3,-Infinity
B2,3,2
B5,3,2
B3,3,5
B5,3,5
B6,3,-Infinity
B2,3,3
B6,3,3
B3,3,6
B6,3,6
B5,3,6
A5,2,6
B4,1,1
A6,2,-Infinity
B2,3,1
A6,2,1
B3,3,3
A6,2,3
B5,3,-Infinity
B2,3,2
B5,3,2
B3,3,4
B5,3,4
B6,3,-Infinity
B2,3,3
B6,3,3
B3,3,5
B6,3,5
B5,3,5
A6,2,5
B4,1,1
B6,1,1
B5,1,Infinity
A2,2,Infinity
A3,2,-Infinity
B3,3,0
A3,2,0
B4,3,2
A3,2,2
A2,2,2
A4,2,-Infinity
B2,3,2
A4,2,2
B3,3,2
A4,2,2
B4,3,4
A4,2,4
A2,2,2
A5,2,-Infinity
B2,3,2
A5,2,2
B3,3,2
A5,2,2
B4,3,3
A5,2,3
A2,2,2
B5,1,2
A3,2,-Infinity
B2,3,3
A3,2,3
B3,3,3
A3,2,3
B4,3,5
A3,2,5
B5,1,2
A4,2,-Infinity
B2,3,3
A4,2,3
B3,3,3
A4,2,3
B4,3,5
A4,2,5
B5,1,2
A5,2,-Infinity
B2,3,3
A5,2,3
B3,3,3
A5,2,3
B4,3,4
A5,2,4
B5,1,2
B6,1,2
root,0,2
